CustomerID,Gender,Age,City,AnnualIncome_juta,SpendingScore,Recency_hari,Frequency_bulan,MonetaryValue_ribu,PreferredCategory,Cluster_KMeans,Cluster_Agg,Segment
CUST00001,Female,29,Jakarta,102.0,81,3,44,953,Sports,2,3,At Risk
CUST00002,Male,38,Surabaya,63.5,65,12,30,484,Electronics,1,4,Loyal Customers
CUST00003,Male,60,Surabaya,16.1,13,95,1,185,Food & Beverage,0,0,Champions
CUST00004,Male,41,Bandung,69.1,51,10,28,461,Fashion,1,4,Loyal Customers
CUST00005,Male,61,Surabaya,22.2,10,97,1,11,Food & Beverage,0,0,Champions
CUST00006,Female,28,Semarang,96.8,92,1,44,813,Fashion,2,3,At Risk
CUST00007,Female,21,Surabaya,39.7,44,2,6,96,Fashion,3,2,New Customers
CUST00008,Male,26,Surabaya,97.2,86,5,47,769,Food & Beverage,2,3,At Risk
CUST00009,Female,55,Palembang,13.5,19,88,5,60,Food & Beverage,0,0,Champions
CUST00010,Male,62,Surabaya,22.9,10,100,3,29,Sports,0,0,Champions
CUST00011,Female,43,Jakarta,64.0,61,17,30,438,Beauty,1,4,Loyal Customers
CUST00012,Female,26,Surabaya,39.7,57,8,2,135,Electronics,3,2,New Customers
CUST00013,Female,48,Semarang,48.2,36,57,8,305,Sports,4,1,Lost Customers
CUST00014,Female,44,Surabaya,60.8,59,11,26,446,Food & Beverage,1,4,Loyal Customers
CUST00015,Male,29,Medan,99.1,84,6,44,885,Food & Beverage,2,3,At Risk
CUST00016,Female,57,Yogyakarta,16.1,16,96,1,100,Fashion,0,0,Champions
CUST00017,Male,64,Surabaya,23.4,9,99,3,25,Fashion,0,0,Champions
CUST00018,Female,28,Jakarta,86.9,93,5,43,831,Electronics,2,3,At Risk
CUST00019,Male,56,Semarang,19.8,19,96,1,10,Beauty,0,0,Champions
CUST00020,Male,51,Bandung,54.5,34,55,11,308,Food & Beverage,4,1,Lost Customers
CUST00021,Male,20,Jakarta,30.8,47,11,6,206,Electronics,3,2,New Customers
CUST00022,Male,26,Bandung,38.1,46,7,5,93,Fashion,3,2,New Customers
CUST00023,Female,44,Medan,65.6,54,17,29,569,Fashion,1,4,Loyal Customers
CUST00024,Male,38,Medan,74.6,58,12,28,581,Home & Living,1,4,Loyal Customers
CUST00025,Male,31,Semarang,27.4,57,6,2,145,Electronics,3,2,New Customers
CUST00026,Female,58,Medan,22.5,14,103,1,10,Sports,0,0,Champions
CUST00027,Female,27,Surabaya,98.9,88,7,51,912,Home & Living,2,3,At Risk
CUST00028,Female,29,Makassar,92.3,92,4,45,1097,Fashion,2,3,At Risk
CUST00029,Male,48,Yogyakarta,46.8,26,60,7,253,Electronics,4,1,Lost Customers
CUST00030,Female,28,Surabaya,27.0,49,11,9,151,Home & Living,3,2,New Customers
CUST00031,Female,40,Surabaya,70.3,61,11,35,612,Electronics,1,4,Loyal Customers
CUST00032,Female,32,Bandung,98.1,93,2,45,856,Electronics,2,3,At Risk
CUST00033,Female,58,Palembang,21.6,16,94,2,109,Home & Living,0,0,Champions
CUST00034,Male,44,Jakarta,62.8,54,13,31,404,Electronics,1,4,Loyal Customers
CUST00035,Male,25,Bandung,37.1,52,1,6,128,Food & Beverage,3,2,New Customers
CUST00036,Female,20,Jakarta,32.1,55,6,6,160,Fashion,3,2,New Customers
CUST00037,Female,24,Surabaya,29.0,50,3,7,317,Electronics,3,2,New Customers
